Date,ZipCode,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
9/30/2017,94577,CA,San Francisco,Alameda,San Leandro,1085,2800,0.003584229,0.008645533,0.032829214,12821
9/30/2017,40216,KY,Louisville/Jefferson County,Jefferson,Pleasure Ridge Park,1086,990,0.002024291,0.019567456,0.089108911,20010
9/30/2017,94102,CA,San Francisco,San Francisco,San Francisco,1087,3914,0,0.004104669,-0.037856441,2677
9/30/2017,94118,CA,San Francisco,San Francisco,San Francisco,1088,5514,0.009150805,0.014162222,0.007123288,8249
9/30/2017,43204,OH,Columbus,Franklin,Columbus,1089,936,0.007534984,0.027442371,0.056433409,13844
9/30/2017,75074,TX,Dallas-Fort Worth,Collin,Plano,1090,1636,-0.000610874,-0.001221001,0.006150062,12183
9/30/2017,52402,IA,Cedar Rapids,Linn,Cedar Rapids,1091,1102,0.002729754,-0.009883199,0.024163569,17181
9/30/2017,80233,CO,Denver,Adams,Northglenn,1092,1816,0.002760906,0.011135857,0.025988701,13255
9/30/2017,60115,IL,Chicago,DeKalb,Dekalb,1093,1283,0.012628256,0.043938161,0.032180209,9126
9/30/2017,44212,OH,Cleveland,Medina,Brunswick,1094,1401,0.012283237,0.037777778,-0.033126294,15548
9/30/2017,14224,NY,Buffalo,Erie,West Seneca,1095,1270,-0.005481597,-0.026819923,0.004746835,14343
9/30/2017,94546,CA,San Francisco,Alameda,Castro Valley,1096,2936,0,-0.001360544,0.003417635,13762
9/30/2017,29615,SC,Greenville,Greenville,Greenville,1097,1552,0,0.000644745,-0.004490058,10728
9/30/2017,95403,CA,Santa Rosa,Sonoma,Santa Rosa,1098,2592,0.008560311,0.029388403,0.044319098,11301
9/30/2017,2860,RI,Providence,Providence,Pawtucket,1099,1368,0.010339734,0.031674208,0.058823529,8864
9/30/2017,99205,WA,Spokane,Spokane,Spokane,1100,1061,0.005687204,0.014340344,0.089322382,17239
9/30/2017,10022,NY,New York,New York,New York,1101,4044,0.008982036,0.038520801,0.041462787,18604
9/30/2017,85029,AZ,Phoenix,Maricopa,Phoenix,1102,1221,0.007425743,0.024328859,0.044482464,12531
9/30/2017,76542,TX,Killeen,Bell,Killeen,1103,1055,0.005719733,0.011505273,0.014423077,14845
9/30/2017,7712,NJ,New York,Monmouth,Asbury Park,1104,2229,-0.002238138,0.00951087,0.033379694,12199
9/30/2017,37087,TN,Nashville,Wilson,Lebanon,1105,1479,0.012320329,0.022821577,-0.00738255,13997
9/30/2017,43016,OH,Columbus,Franklin,Dublin,1106,1866,0.009194159,0.012479653,0.047138047,12908
9/30/2017,92223,CA,Riverside,Riverside,Beaumont,1107,1809,0.007238307,0.016863406,0.04626952,15088
9/30/2017,33178,FL,Miami-Fort Lauderdale,Miami-Dade,Doral,1108,2162,-0.007801744,-0.016378526,-0.054656756,19913
